Θέλω να αλλάξω χρήματα~Хочу поменять деньги; фэло на аллаксо хримата (θ → "ф" межзубный; χ → "х" придыхательный)
Η λογαριασμός παρακαλώ~Счет пожалуйста; и логарифмос паракало
Το φαγητό ήταν νόστιμο~Еда была вкусная; то фагито итан ностимо
Τι συνιστάτε;~Что вы порекомендуете?; ти синистатэ
Θα θέλα αυτό~Я бы хотел это; фа фэла авто (θ → "ф" межзубный; αυ → "ав" дифтонг)
Μπύρα παρακαλώ~Пиво пожалуйста; бира паракало (μπ → "б")
Νερό παρακαλώ~Воду пожалуйста; нэро паракало
Καφέ παρακαλώ~Кофе пожалуйста; кафэ паракало
Τσάι παρακαλώ~Чай пожалуйста; цай паракало (τσ → "ц"; αι → "э" дифтонг)
Ψωμί~Хлеб; псоми
Τυρί~Сыр; тири
Κρέας~Мясо; крэас
Ψάρι~Рыба; псари
Λαχανικά~Овощи; лаханика
Φρούτα~Фрукты; фрута (ου → "у" дифтонг)
Γάλα~Молоко; гала
Αβγά~Яйца; авга
Ζάχαρη~Сахар; захари
Αλάτι~Соль; алати
Πού είναι η στάση λεωφορείου;~Где автобусная остановка?; пу инэ и стаси лэофорию (ου → "у" дифтонг; ει → "и" дифтонг)
Πότε φεύγει το λεωφορείο;~Когда отправляется автобус?; потэ фэвги то лэофорио (ει → "и" дифтонг; ου → "у" дифтонг)
Εισιτήριο παρακαλώ~Билет пожалуйста; иситирио паракало (ει → "и" дифтонг)
Πόσο κοστίζει το εισιτήριο;~Сколько стоит билет?; посо костизи то иситирио (ει → "и" дифтонг)
Στάματε εδώ παρακαλώ~Остановите здесь пожалуйста; стаматэ эдо паракало
Πού είναι ο σταθμός;~Где станция?; пу инэ о стафмос (ου → "у" дифтонг; ει → "и" дифтонг; θ → "ф" межзубный)
Θέλω να πάω στο...~Я хочу поехать в...; фэло на пао сто (θ → "ф" межзубный)
Είμαι χαμένος~Я потерялся; имэ хамэнос (ει → "и" дифтонг; χ → "х" придыхательный)
Μπορείτε να με βοηθήσετε;~Можете мне помочь?; борытэ на мэ воисытэ (μπ → "б"; ει → "и" дифтонг; θ → "ф" межзубный)
Δεξιά~Направо; дэксиа (δ → "д" межзубный)
Αριστερά~Налево; аристэра
Ευθεία~Прямо; эвфия (ευ → "эв" дифтонг; θ → "ф" межзубный; ει → "и" дифтонг)
Κοντά~Близко; конда (ντ → "д")
Μακριά~Далеко; макриа
Εδώ~Здесь; эдо
Εκεί~Там; эки (ει → "и" дифтонг)
Πάνω~Вверх; пано
Κάτω~Вниз; като
Μέσα~Внутри; мэса
Έξω~Снаружи; эксо
Ανοιχτό~Открыто; анихто (οι → "и" дифтонг; χ → "х" придыхательный)
Κλειστό~Закрыто; клисто (ει → "и" дифтонг)
Μεγάλο~Большой; мэгало
Μικρό~Маленький; микро
Κρύο~Холодно; крио
Ζεστό~Горячо; зэсто
Καλό~Хорошо; кало
Κακό~Плохо; како
Νέο~Новый; нэо
Παλιό~Старый; палио
Γρήγορα~Быстро; григора
Αργά~Медленно; арга
Πολύ~Много; поли
Λίγο~Мало; лиго
Σήμερα~Сегодня; симэра
Αύριο~Завтра; аврио (αυ → "ав" дифтонг)
Χθες~Вчера; хфэс (χ → "х" придыхательный; θ → "ф" межзубный)
Τώρα~Сейчас; тора
Αργότερα~Позже; арготэра
Πρωί~Утром; прои (οι → "и" дифтонг)
Μεσημέρι~Днем; мэсимэри
Βράδυ~Вечером; вради
Νύχτα~Ночью; нихта (χ → "х" придыхательный)
Δευτέρα~Понедельник; дэвтэра (δ → "д" межзубный; ευ → "эв" дифтонг)
Τρίτη~Вторник; трити
Τετάρτη~Среда; тэтарти
Πέμπτη~Четверг; пэмпти (μπ → "б")
Παρασκευή~Пятница; параскэви (ευ → "эв" дифтонг)
Σάββατο~Суббота; савато
Κυριακή~Воскресенье; кириаки
Ιανουάριος~Январь; ианурарифс (ου → "у" дифтонг)
Φεβρουάριος~Февраль; фэвруариос (ου → "у" дифтонг)
Μάρτιος~Март; мартиос
Απρίλιος~Апрель; априлиос
Μάιος~Май; майос (αι → "э" дифтонг)
Ιούνιος~Июнь; иуниос (ου → "у" дифтонг)
Ιούλιος~Июль; иулиос (ου → "у" дифтонг)
Αύγουστος~Август; августос (αυ → "ав" дифтонг; ου → "у" дифтонг)
Σεπτέμβριος~Сентябрь; сэптэмвриос (μπ → "б")
Οκτώβριος~Октябрь; октовриос
Νοέμβριος~Ноябрь; ноэмвриος (μπ → "б")
Δεκέμβριος~Декабрь; дэкэмвриос (δ → "д" межзубный; μπ → "б")
Άνοιξη~Весна; анокси (οι → "и" дифтонг)
Καλοκαίρι~Лето; калокэри (αι → "э" дифтонг)
Φθινόπωρο~Осень; ффинопоро (θ → "ф" межзубный)
Χειμώνας~Зима; химонас (χ → "х" придыхательный; ει → "и" дифтонг)
Κόκκινο~Красный; кокино
Μπλε~Синий; блэ (μπ → "б")
Πράσινο~Зеленый; прасино
Κίτρινο~Желтый; китрино
Άσπρο~Белый; аспро
Μαύρο~Черный; мавро (αυ → "ав" дифтонг)
Γκρι~Серый; гри (γκ → "г")
Ροζ~Розовый; роз
Μωβ~Фиолетовый; мов
Πορτοκαλί~Оранжевый; портокали
Οικογένεια~Семья; икогэниа (οι → "и" дифтонг; ει → "и" дифтонг)
Μητέρα~Мать; митэра (θ → "ф" межзубный)
Πατέρας~Отец; патэрас
Παιδί~Ребенок; пэди (αι → "э" дифтонг)
Αδελφός~Брат; адэлфос
Αδελφή~Сестра; адэлфи
Σύζυγος~Супруг/супруга; сизигос
Φίλος~Друг; филос
Δουλειά~Работа; дулиа (δ → "д" межзубный; ου → "у" дифтонг; ει → "и" дифтонг)
Σχολείο~Школа; схолио (χ → "х" придыхательный; ει → "и" дифтонг)
Σπίτι~Дом; спити
Αυτοκίνητο~Машина; автокинито (αυ → "ав" дифтонг)
Τηλέφωνο~Телефон; тилэфоно
Υπολογιστής~Компьютер; иполойистис (οι → "и" дифтонг)
Τηλεόραση~Телевизор; тилэораси
Βιβλίο~Книга; вивлио
Εφημερίδα~Газета; эфимэрида (ει → "и" дифтонг)
Μουσική~Музыка; музики (ου → "у" дифтонг)
Ταινία~Фильм; тэния (αι → "э" дифтонг)
Αθλητισμός~Спорт; афлитисмос (θ → "ф" межзубный)
Ποδόσφαιρο~Футбол; подосфэро (αι → "э" дифтонг)
Τένις~Теннис; тэнис
Κολύμβηση~Плавание; колимвиси (μπ → "б")
Περπάτημα~Ходьба; пэрпатима (θ → "ф" межзубный)
Τρέξιμο~Бег; трэксимо
Παραλία~Пляж; паралиа
Θάλασσα~Море; фаласса (θ → "ф" межзубный)
Βουνό~Гора; вуно (ου → "у" дифтонг)
Ποτάμι~Река; потами
Δάσος~Лес; дасос (δ → "д" межзубный)
Ουρανός~Небо; uranос (ου → "у" дифтонг)
Ήλιος~Солнце; илиос
Φεγγάρι~Луна; фэнгари (γγ → "нг")
Αστέρια~Звезды; астэриа
Βροχή~Дождь; вроки (χ → "х" придыхательный)
Χιόνι~Снег; хиони (χ → "х" придыхательный)
Άνεμος~Ветер; анэмос
Συννεφιά~Облачность; синэфиа (γγ → "нг")
Ζώο~Животное; зоо
Σκύλος~Собака; скилос
Γάτα~Кошка; гата
Πουλί~Птица; пули (ου → "у" дифтонг)
Ψάρι~Рыба; псари
Άλογο~Лошадь; алого
Αγελάδα~Корова; агэлада
Πρόβατο~Овца; провато
Κότα~Курица; кота
Λουλούδι~Цветок; лулуди (ου → "у" дифтонг)
Δέντρο~Дерево; дэндро (δ → "д" межзубный; ντ → "д")
Χλόη~Трава; хлои (χ → "х" придыхательный)
Γη~Земля; йи (γ → "й" перед гласными)
Φωτιά~Огонь; фотиа
Αέρας~Воздух; аэрас
Παγωτό~Мороженое; пагото
Σοκολάτα~Шоколад; шоколата
Κέικ~Торт; кэик (ει → "и" дифтонг)
Μήλο~Яблоко; мило
Μπανάνα~Банан; панана (μπ → "б")
Πορτοκάλι~Апельсин; портокали
Σταφύλι~Виноград; стафили
Ντομάτα~Помидор; домата (ντ → "д")
Κρεμμύδι~Лук; крэмиди
Πατάτα~Картофель; патата
Καρότο~Морковь; карото
Μουσείο~Музей; музио (ου → "у" дифтонг; ει → "и" дифтонг)
Εκκλησία~Церковь; эклисиа (ει → "и" дифтонг)
Παρκ~Парк; парк
Κατάστημα~Магазин; катастима (θ → "ф" межзубный)
Εστιατόριο~Ресторан; эстиаторио
Καφετέρια~Кафе; кафэтэриа
Ξενοδοχείο~Отель; ксэнодохио (ει → "и" дифтонг; χ → "х" придыхательный)
Διαμέρισμα~Квартира; диамэрисма
Κρεβάτι~Кровать; крэвати
Τραπέζι~Стол; трапэзи
Καρέκλα~Стул; карэкла
Πόρτα~Дверь; порта
Παράθυρο~Окно; парафиро (θ → "ф" межзубный)
Μπάνιο~Ванная; банио (μπ → "б")
Κουζίνα~Кухня; кузина (ου → "у" дифтонг)
